,CustomerID,Gender,Age,Annual Income,Spending Score,Cluster Group
0,1,Male,19,15.0,39.0,3
2,3,Female,20,16.0,6.0,3
4,5,Female,31,17.0,40.0,3
6,7,Female,35,18.0,6.0,3
8,9,Male,64,19.0,3.0,3
10,11,Male,67,19.0,14.0,3
12,13,Female,58,20.0,15.0,3
14,15,Male,37,20.0,13.0,3
16,17,Female,35,21.0,35.0,3
18,19,Male,52,23.0,29.0,3
20,21,Male,35,24.0,35.0,3
22,23,Female,46,25.0,5.0,3
24,25,Female,54,28.0,14.0,3
26,27,Female,45,28.0,32.0,3
28,29,Female,40,29.0,31.0,3
30,31,Male,60,30.0,4.0,3
32,33,Male,53,33.0,4.0,3
34,35,Female,49,33.0,14.0,3
36,37,Female,42,34.0,17.0,3
38,39,Female,36,37.0,26.0,3
42,43,Male,48,39.0,36.0,3
44,45,Female,49,39.0,28.0,3
