,ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
0,43783,3/22/1995,,,Unknown,Unknown,Male,0,72.35,181.03156914893617,0.0,7.978,,88.24,81.5,60.02,81.44,In state,1.0,,,7.0,1.0
3,22820,12/1/1994,,,Unknown,business administration,Female,0,68.03176470588237,198.34,3.0,8.473,0:12:44,74.06,88.68,55.89,73.16,In state,1.0,,,2.0,6.0
5,28980,9/17/1994,,,Unknown,astrophysics,Male,1,68.45,171.61,0.0,4.65,0:07:24,70.1,82.0708,61.4,77.48,In state,1.0,,,8.0,3.0
7,40274,5/3/1994,,,Unknown,American History,Male,1,71.91,222.87,0.0,,0:05:40,82.78755501222494,67.31,58.64,65.89,In state,0.0,,,8.0,3.0
8,40390,4/30/1994,,,Unknown,Africana studies,Female,1,68.84,154.7,0.0,6.279,0:06:51,75.65,76.54,51.14,75.94,In state,0.0,3.0,26.0,,3.0
9,28942,9/17/1993,,,Unknown,Unknown,Female,1,66.69,180.57,0.0,6.076,0:06:37,68.27,93.88,55.2,78.18,Out of state,,1.0,13.0,2.0,15.0
10,29045,9/17/1993,,,Unknown,French,Male,0,70.12,164.59,0.0,8.498,0:09:22,86.0,91.34,64.41,71.02,Out of state,0.0,3.0,20.0,1.0,6.0
11,35676,6/27/1993,,,Unknown,history,Female,1,66.91,177.89,3.0,,0:06:36,79.94,76.74,62.53,84.78,In state,1.0,,,4.0,0.0
13,39796,5/8/1993,,,Unknown,Unknown,Female,0,72.35,230.27,2.0,7.312,0:09:05,88.97,86.53,52.48,81.21,Out of state,0.0,3.0,38.0,4.0,2.0
15,43344,3/26/1993,,,Unknown,Fine Arts (Painting),Male,0,68.03176470588237,132.69,1.0,7.443,0:08:19,70.42,85.29,57.95,79.22,In state,1.0,,,9.0,
18,44116,3/16/1992,,,Unknown,Exorcise Science,Female,0,69.25,183.68,3.0,,0:08:14,82.99,74.41,61.4,81.12,In state,1.0,,,5.0,15.0
20,26154,10/22/1991,,,Unknown,mathematics,Female,0,58.8,128.73,0.0,6.737,0:08:17,74.88,79.61,51.3,79.64,In state,0.0,1.0,21.0,2.0,7.0
21,41291,4/21/1991,,,Unknown,Unknown,Male,1,71.67,205.62,0.0,4.89,0:06:34,84.67,79.64,60.85,76.77,Out of state,0.0,3.0,24.0,9.0,6.0
27,26582,,,,Unknown,Journalism,Male,1,73.71,197.09,0.0,4.749,0:05:19,85.67,67.62,53.06,77.68,,,,,3.0,12.0
28,46919,,,,Unknown,Unknown,Female,1,72.26,166.04,0.0,5.381,,82.56,77.19,60.73,83.54,In state,0.0,3.0,21.0,3.0,6.0
29,20230,1/2/1996,4-Aug-2014,11-May-2020,Freshman,pre-pharma,Male,1,80.11,181.03156914893617,0.0,5.203,0:07:34,81.6,75.6,65.36,76.07,In state,1.0,,,8.0,3.0
31,21939,12/12/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Male,1,66.09,181.03156914893617,0.0,5.326,0:07:28,87.7,81.1,61.61,79.52168316831683,In state,0.0,3.0,39.0,6.0,5.0
32,23017,11/29/1995,4-Aug-2014,11-May-2020,Freshman,Unknown,Unkown,0,71.72,224.57,0.0,7.638,0:05:55,76.63,84.19,65.25,72.61,In state,0.0,2.0,8.0,8.0,4.0
35,24985,11/5/1995,4-Aug-2014,13-May-2019,Freshman,Biology,Female,0,67.27,181.03156914893617,1.0,7.025,0:12:17,82.78755501222494,77.65,56.04,79.52168316831683,In state,1.0,,,8.0,11.0
37,25701,10/27/1995,4-Aug-2014,13-May-2019,Freshman,Chemistry,Female,0,62.36,163.99,0.0,6.136,0:07:28,83.97,85.85,57.74,83.65,In state,1.0,,,6.0,11.0
39,29142,9/15/1995,4-Aug-2014,11-May-2020,Freshman,Soc,Female,0,68.67,181.03156914893617,0.0,6.572,0:08:19,89.48,78.0,59.24,81.95,Out of state,1.0,,,4.0,0.0
